GFREI,Regina,0419N 05208W,,
BRBOB,Borba,0423S 05936W,,
GFGDE,Guadeloupe,0444N 05347W,,
GFQKR,Kourou,0509N 05238W,,
GFSLM,Saint-Laurent-du-Maroni,0530N 05402W,,
IDDOB,Dobo,0545S 13413E,,
IDJKT,"Jakarta, Java",0608S 10650E,,
SSWUU,Wau,0742N 02800E,,
COTRB,Turbo,0805N 07643W,,
VEPLA,Palua,0821N 06240W,,
BRSMA,Sena Madureira,0904S 06839W,,
BRSAG,Santana do Araguaia,0920S 05021W,,
PFHIX,Hiva'Oa,0946S 13900W,,
VNVUT,Vung Tau,1021N 10704E,,
BRLCU,Lagoa da Confusao,1047S 04937W,,
BRCCL,Cacoal,1126S 06127W,,
BRABV,Alto Boa Vista,1141S 05123W,,
BQBON,Bonaire,1207N 06816W,,
CWCUR,Curacao,1210N 06900W,,
VCKTN,Kingstown,1308N 06113W,,
PFNAU,Napuka,1411S 14116W,,
MQLMT,Le Lamentin,1436N 06100W,,
BRPLC,Pontes e Lacerda,1514S 05920W,,
PFFGU,Fangatau,1549S 14053W,,
GPHTB,Terre-de-Bas,1551N 06138W,,
PFTJN,Takume,1551S 14216W,,
PFFHZ,Fakahina,1600S 14010W,,
INGWM,Vijayawada International Airport/Gannavaram,1631N 08037E,,
PFFAC,Faaite,1641S 14520W,,
PFTKV,Tatakoto,1721S 13827W,,
BQEUX,Sint Eustatius,1729N 06258W,,
PFHHZ,Hikueru,1733S 14236W,,
PFFAA,Tahiti Fa'a'a,1733S 14937W,,
BQSAB,Saba,1738N 06314W,,
BOSRZ,Santa Cruz,1747S 06311W,,
SXSXM,Sint-Maarten Apt,1803N 06307W,,
MXCOA,Coatzacoalcos,1808N 09424W,,
PFVHZ,Vahitahi,1847S 13851W,,
PFNUK,Nukutavake,1917S 13846W,,
KYGEC,"Georgetown, Grand Cayman",1918N 08123W,,
CNHKO,Haikou,2002N 11020E,,
NCNEP,Nepoui,2119S 16500E,,
CLTOQ,Tocopilla,2205S 07011W,,
BRABZ,Armacao dos Buzios,2245S 04153W,,
CNNIN,Nanning,2248N 10819E,,
CUMAR,Mariel,2300N 08245W,,
CLTTC,Taltal,2524S 07028W,,
BRPNG,Paranagua,2531S 04830W,,
AEQIW,Umm al Qaiwain,2534N 05533E,,
CNFZH,Fuzhou,2605N 11918E,,
USPEF,Port Everglades,2606N 08008W,,
CLCNR,Chanaral,2621S 07037W,,
CNKJH,Kaili,2635N 10758E,,
CNCSH,Changsha,2812N 11259E,,
USZPH,Zephyrhills,2814N 08210W,,
CNNCH,Nanchang,2840N 11555E,,
LSBUT,Butha-Buthe,2847S 02814E,,
CNCQI,Chongqing,2935N 10633E,,
CLLSC,La Serena,2953S 07114W,,
USJCY,Johnson City,3016N 09824W,,
IRBKM,Bandar Khomeini,3026N 04906E,,
USAWE,Caldwell,3031N 09641W,,
CNNHN,Wuhan,3035N 11417E,,
CNCDU,Chengdu,3040N 10404E,,
EGALY,El Iskandariya (Alexandria),3111N 02955E,,
EGDAM,Dumyat (Damietta),3125N 03149E,,
CNWXS,Wuxi,3134N 12018E,,
CNNJI,Nanjing,3203N 11846E,,
CLVAP,Valparaiso,3302S 07138W,,
USDEU,Decatur,3314N 09735W,,
ARSNS,San Nicolas de los Arroyos,3320S 06014W,,
MACAS,Casablanca,3335N 00736W,,
USGLE,Gainesville,3337N 09708W,,
CNXIA,Xian,3417N 10857E,,
USUOX,Oxford,3421N 08931W,,
ARBUE,Buenos Aires,3435S 05840W,,
JPOSA,Osaka,3440N 13530E,,
USCTZ,Clinton,3459N 07819W,,
USNGI,Carnegie,3506N 09836W,,
USS66,Seligman,3519N 11252W,,
JPYOK,Yokohama,3527N 13939E,,
USCSM,Clinton,3530N 09858W,,
USSRW,Salisbury,3540N 08028W,,
CNQIN,Qingdao,3603N 12019E,,
USGCY,Greenville,3617N 08653W,,
DZSKK,Skikda,3652N 00654E,,
PTSMA,Santa Maria Island Apt,3658N 02510W,,
USUIP,Mountain View,3659N 09142W,,
CNWEI,Weihai,3731N 12207E,,
CNYAT,Yantai,3732N 17124E,,
GRAGT,Agio Theodoroi,3755N 02307E,,
PTSIE,Sines,3757N 00852W,,
USLUI,Louisville,3814N 08546W,,
USMVN,Mount Vernon,3819N 08854W,,
USSLO,Salem,3837N 08856W,,
CNDAL,Dalian,3855N 12136E,,
CNTNJ,Tianjin,3902N 11712E,,
USRTT,Marietta,3924N 08127W,,
CNPKX,Daxing,3930N 11625E,,
CLCRR,Corral,3952S 07326W,,
AZGYD,Heydar Aliyev International Apt.,4028N 05002E,,
TRTEK,Tekirdag,4058N 02731E,,
USAKH,Akron,4104N 08132W,,
TRISL,Istanbul New Airport,4116N 02845E,,
USSTQ,Saint Marys,4124N 07830W,,
USVPZ,Valparaiso,4128N 08703W,,
FRPRP,Propriano,4141N 00854E,,
USJOY,Johnson City,4207N 07557W,,
USOIG,Corning,4208N 07703W,,
USSXY,Sidney,4218N 07525W,,
FRTAB,Tarbes,4314N 00004E,,
FRBAY,Bayonne,4330N 00129W,,
ESGIJ,Gijon,4332N 00540W,,
FRCAS,Castres,4336N 00214E,,
FRSXD,Sophia Antipolis,4337N 00702E,,
KZAAU,Aktau,4339N 05109E,,
CNCGC,Changchun,4354N 12519E,,
FRORA,Orange,4408N 00449E,,
FRBAE,Barcelonnette,4423N 00639E,,
FRZAO,Cahors,4427N 00126E,,
FRGAT,Gap,4434N 00605E,,
FRARC,Arcachon,4440N 00110W,,
USOUC,Council,4443N 11626W,,
US8GA,Gardiner,4515N 11042W,,
CASJB,Saint-John,4516N 06604W,,
FRTGF,Tignes,4528N 00655E,,
FRPLG,La Plagne,4530N 00641E,,
FRVSS,Villefranche-sur-Saone,4559N 00443E,,
FRAVF,Avoriaz,4612N 00646E,,
CACHA,Charlottetown,4614N 06308W,,
FRSTY,Saint-Yan,4624N 00402E,,
FRCSS,Chalon-sur-Saone,4647N 00451E,,
USUND,Underwood,4727N 10108W,,
UAZPR,Zaporizhzhia,4749N 03510E,,
FRVTL,Vittel,4812N 00557E,,
FRVO5,Les Villages Voveens,4816N 00137E,,
USMVW,Mount Vernon,4825N 12219W,,
CAVIC,Victoria,4826N 12321W,,
FRLDV,Landivisiau,4831N 00404W,,
FRMEL,Melun,4832N 00240E,,
CAGPE,Gaspe,4850N 06429W,,
FRMEA,Meaux,4858N 00253E,,
FRVAT,Vatimont,4859N 00628E,,
FRHON,Honfleur,4925N 00014E,,
FRDPE,Dieppe,4955N 00105E,,
ARRZA,Santa Cruz,5001S 06825W,,
FRABB,Abbeville,5006N 00150E,,
FRAUL,Aulnoye-Aymeries,5012N 00350E,,
CASEI,Sept-Iles,5012N 06623W,,
FRARR,Arras,5017N 00247E,,
FRVAL,Valenciennes,5022N 00332E,,
GBPLY,Plymouth,5024N 00407W,,
FRLLE,Lille,5038N 00304E,,
CACAL,Calgary,5102N 11404W,,
BEGNE,Gent (Ghent),5103N 00343E,,
CASAT,Saint-Anthony,5123N 05536W,,
DEDUI,Duisburg,5128N 00645E,,
GBCDF,Cardiff,5130N 00312W,,
GBSWA,Swansea,5138N 00358W,,
RUKUF,Samara,5313N 05010E,,
CAGOO,Goose Bay,5324N 06010W,,
GBLIV,Liverpool,5325N 00300W,,
GBGSY,Grimsby,5332N 00030W,,
ARRGA,Rio Grande,5347S 06742W,,
DERSK,Rostock,5405N 01208E,,
GBBIF,Barrow in Furness,5407N 00314W,,
GBNCL,Newcastle upon Tyne,5458N 00136W,,
GBCBT,Campbeltown,5526N 00538W,,
SEMMA,Malmo,5536N 01300E,,
GBRAY,"Rothesay, Isle of Bute",5553N 00509W,,
GBOBA,Oban,5625N 00528W,,
GBDUN,Dundee,5630N 00258W,,
GBABD,Aberdeen,5708N 00206W,,
SEVVK,Vastervik,5745N 01638E,,
CAFCM,Kuujjuaq,5806N 06824W,,
GBSTO,Stornoway,5813N 00622W,,
NOVAO,Vardo,7022N 03106E,,
XZSUU,Suursaq,8049N 06638W,,
AFDAZ,Darwaz,,,
AFFAH,Farah,,,
AFGRG,Gardez,,,
AFGZI,Ghazni,,,
AFKWH,Khwahan,,,
AFKUR,Kuran-O-Munjan,,,
AFIMZ,Nimroz,,,
AFLQN,Qala Nau,,,
AFSBF,Sardeh Band,,,
AFSGA,Sheghnan,,,
AFTQN,Taluqan,,,
AFURN,Urgoon,,,
AFURZ,Uruzgan,,,
AIWLL,Wall Blake,,,
AOAZZ,Ambriz,,,
AOANL,Andulo,,,
AOCFF,Cafunfo,,,
AOCNZ,Cangamba,,,
AOCAV,Cazombo,,,
AOPGI,Chitato,,,
AOCTI,Cuito Cuanavale,,,
AODRC,Dirico,,,
AOJMB,Jamba,,,
AOUAL,Luau,,,
AOGGC,Lumbala,,,
AOLZM,Luzamba,,,
AONRQ,N'Riquinha,,,
AONZA,Nzagi,,,
AOARZ,N'Zeto,,,
AONDD,Sumbe,,,
ARCPG,Carmen de Patagones,,,
ARCVH,Caviahue,,,
ARCRR,Ceres,,,
ARCNT,Charata,,,
ARHOS,Chos Malal,,,
ARCLX,Clorinda,,,
ARCCT,Colonia Catriel,,,
ARELO,Eldorado,,,
ARGPO,General Pico,,,
ARVGS,General Villegas,,,
AROYA,Goya,,,
ARLCM,La Cumbre,,,
ARLLS,Las Lomitas,,,
ARXMX,Ledesma,,,
ARLMD,Los Menucos,,,
ARMQD,Maquinchao,,,
ARMDX,Mercedes,,,
ARMJR,Miramar,,,
ARMCS,Monte Caseros,,,
ARXOS,Mosconi,,,
ARQLV,Olivos,,,
ARXMV,Pichanal,,,
ARQPQ,Pinamar,,,
ARXPD,San Pedro,,,
ARVCF,Valcheta,,,
ASTAV,Tau,,,
ATVDD,Vienna Danubepier Hov,,,
AUABG,Abingdon,,,
AUADA,Adelaide Apt,,,
AUAGW,Agnew,,,
AUAXL,Alexandria,,,
AUABH,Alpha,,,
AUAYD,Alroy Downs,,,
AUAWN,Alton Downs,,,
AUAMT,Amata,,,
AUABL,Amberley,,,
AURCN,American River,,,
AUAMX,Ammaroo,,,
AUADO,Andamooka,,,
AUANZ,Angus Downs,,,
AUAYL,Anthony Lagoon,,,
AUAXC,Aramac,,,
AUARY,Ararat,,,
AUAGY,Argyle Downs,,,
AUAAB,Arrabury,,,
AUAUD,Augustus Downs,,,
AURSE,Au-Rose Bay,,,
AUAWP,Austral Downs,,,
AUAVG,Auvergne,,,
AUAYR,Ayr,,,
AULCN,Balcanoona,,,
AUBQW,Balgo Hills,,,
AUBZD,Balranald,,,
AUBYX,Baniyala,,,
AUBKP,Barkly Downs,,,
AUBVW,Batavia Downs,,,
AUBEE,Beagle Bay,,,
AUBDW,Bedford Downs,,,
AUBDG,Bendigo,,,
AUBTX,Betoota,,,
AUBVZ,Beverley Springs,,,
AUBCZ,Bickerton Island,,,
AUBBE,Big Bell,,,
AUBIW,Billiluna,,,
AUBLO,Biloela,,,
AUBZP,Bizant,,,
AUBFC,Bloomfield,,,
AUBLS,Bollon,,,
AUBCK,Bolwarra,,,
AUBOX,Borroloola,,,
AUZBO,Bowen,,,
AUBWQ,Brewarrina,,,
AUBRJ,Bright,,,
AUBHT,Brighton Downs,,,
AUBRA,Brisbane Apt,,,
AUBTD,Brunette Downs,,,
AUBIP,Bulimba,,,
AUBUY,Bunbury,,,
AUCGV,Caiguna,,,
AUCUD,Caloundra,,,
AUCFI,Camfield,,,
AUCML,Camooweal,,,
AUCBY,Canobie,,,
AUCBI,Cape Barren Island,,,
AUCRY,Carlton Hill,,,
AUCFP,Carpentaria Downs,,,
AUCSI,Casino,,,
AUCTR,Cattle Creek,,,
AUCXT,Charters Towers,,,
AUCBC,Cherrabun,,,
AUCRH,Cherribah,,,
AULLG,Chillagoe,,,
AUCXQ,Christmas Creek,,,
AUCMQ,Clermont,,,
AUCVC,Cleve,,,
AUCFH,Clifton Hills,,,
AUCZY,Cluny,,,
AUXCO,Colac,,,
AUCRB,Collarenebri,,,
AUCIE,Collie,,,
AUKCE,Collinsville,,,
AUCBX,Condobolin,,,
AUCLH,Coolah,,,
AUCOY,Coolawanyah,,,
AUCRJ,Coorabie,,,
AUCMD,Cootamundra,,,
AUODL,Cordillo Downs,,,
AUCWW,Corowa,,,
AUCYG,Corryong,,,
