TRESP,Porsuk,0001S 00001W,,
BRMCA,Macapa,0002N 05103W,,
BRSTN,Santana,0002S 05110W,,
ECSGO,Santo Domingo,0015S 07910W,,
GANGI,Owendo,0017N 00930E,,
UGMUK,Mukono,0021N 03245E,,
KEMAL,Malaba,0037N 03416E,,
ECVLC,Valencia,0057S 07920W,,
IDPDG,Padang,0057S 10021E,,
ECTSL,Tisaleo,0121S 07840W,,
IDORA,Oransbari,0121S 13416E,,
MYTPP,Tanjung Pelepas,0122N 10333E,,
IDMU9,Muarabungo,0128S 10207E,,
MYSEI,Senai,0136N 10339E,,
MYUTI,Ulu Tiram,0138N 10350E,,
CGMBI,Mbinda,0206S 01252E,,
GQKNT,Ebebiyin,0209N 01119E,,
ECSEL,Santa Elena,0213S 08051W,,
MYAOG,Alor Gajah,0222N 10212E,,
MYSGM,Segamat,0230N 10249E,,
MYSEW,Senawang,0242N 10158E,,
MYSRB,Seremban,0243N 10156E,,
MYKLG,Kuala Langat,0245N 10135E,,
CMEBT,Ebome Terminal,0248N 00949E,,
CDMKL,Makala,0249N 02443E,,
MYBRN,Beranang,0253N 10152E,,
MYPKG,Port Klang (Pelabuhan Klang),0300N 10124E,,
MYSKB,Seri Kembangan,0301N 10142E,,
MYKLA,Klang,0302N 10127E,,
MYSUB,Subang Jaya,0304N 10135E,,
MYSUW,Sungai Way,0305N 10137E,,
COVLR,Villa Rica,0306N 07616W,,
MYBRJ,Bukit Raja,0306N 10126E,,
MYSBL,Sungai Buluh,0312N 10135E,,
MYRAW,Rawang,0319N 10135E,,
BRPEC,Pecem Pt/Sao Goncalo do Amarante,0332S 03852W,,
MYTAM,Tanjung Malim,0341N 10130E,,
CMEDA,Edea,0346N 01007E,,
MYGEB,Gebeng,0358N 10325E,,
CMLIM,Limbe,0401N 00913E,,
MYLAP,Langkap,0405N 10115E,,
MYKTE,Kerteh,0431N 10327E,,
MYLAH,Lahat,0433N 10102E,,
MYMEL,Menglembu,0434N 10102E,,
TZKSL,Kasulu,0434S 03006E,,
COBOG,Bogota,0436N 07405W,,
MYTAE,Kampong Tasek,0439N 10106E,,
MYGMU,Gua Musang,0453N 10158E,,
CMNKS,Nkongsamba,0456N 00956E,,
CMBEL,Belabo,0456N 01318E,,
BRQUI,Quixada,0458S 03901W,,
BRGSS,Grossos,0459S 03709W,,
MYBTW,Batu Kawan,0515N 10025E,,
MYBEA,Beaufort,0520N 11545E,,
MYRAI,Perai,0523N 10023E,,
CFTOG,Togo,0530N 02143E,,
MYKRA,Kuala Krai,0532N 10211E,,
GHTSH,Teshie,0535N 00006W,,
MYPET,Sungai Petani,0538N 10029E,,
SRLLW,Lelydorp,0542N 05514W,,
BRLJE,Lajes,0542S 03614W,,
GHNSA,Nsawam,0548N 00021W,,
MYTMR,Tanah Merah,0548N 10208E,,
AONQI,Noqui,0551S 01326E,,
CIAGB,Agboville,0556N 00413W,,
LKKCT,Koggala,0559N 08020E,,
GYMKZ,Mackenzie,0600N 05817W,,
IDANR,Anyer Kidul,0604S 10553E,,
GHKOF,Koforidua,0605N 00015W,,
IDJKT,"Jakarta, Java",0608S 10650E,,
GHKYB,Kyebi,0610N 00033W,,
IDMTG,Menteng,0611S 10650E,,
GHOBU,Obuasi,0612N 00140W,,
PEMRL,Morales,0628S 07628W,,
BJPTN,Porto-Novo,0629N 00237E,,
MYBKR,Bukit Keteri,0632N 10015E,,
THSAO,Sadao Customs House,0633N 10025E,,
THPDB,"Padang Besar, Thailand",0639N 10019E,,
TZDAR,Dar es Salaam,0648S 03917E,,
LKRAT,Ratmalana,0649N 07952E,,
LKHAT,Hatton,0653N 08035E,,
LKCMB,Colombo,0655N 07951E,,
LKAVI,Avissawella,0657N 08013E,,
BRCAB,Cabedelo,0658S 03450W,,
BJBOH,Bohicon,0712N 00204E,,
BRJNE,Juazeiro do Norte,0713S 03919W,,
PECHE,Chepen,0713S 07927W,,
IDSUB,Surabaya,0714S 11245E,,
CMNGE,Ngaoundere,0719N 01335E,,
BRITN,Itabaiana,0720S 03520W,,
THKAN,Kantang,0724N 09931E,,
IDMJI,Mojosari,0731S 11233E,,
IDPAZ,"Pasuruan, Java",0738S 11254E,,
IDKPK,Krapyak,0744S 11024E,,
NGOGS,Osogbo,0746N 00434E,,
IDJOG,Yogyakarta,0748S 11022E,,
BRCIN,Carpina,0751S 03515W,,
BJGLA,Glazoue,0758N 00218E,,
BRVDS,Vitoria de Santo Antao,0807S 03518W,,
IDBNI,Banyuwangi,0812S 11421E,,
BRBJB,Belo Jardim,0820S 03625W,,
TDKME,Kome,0827N 01642E,,
INTRV,Thiruvananthapuram (ex Trivandrum),0829N 07655E,,
BRRBE,Ribeirao,0830S 03522W,,
IDTLU,Tulungagung,0840S 11154E,,
