ECOCC,Coca,0029S 07658W,,
ECPSJ,Posorja,0242S 08015W,,
XZSBY,Sibuko Bay,0351N 11806E,,
XZWRT,Widuri Marine Terminal,0440S 10639E,,
BRARE,Areia Branca,0457S 03708W,,
XZKMT,Kakap Marine Terminal,0501N 10557E,,
XZANU,Anoa Natuna,0514N 10536E,,
MYPEN,Penang (Georgetown),0525N 10019E,,
BRCEA,Ceara-Mirim,0538S 03525W,,
XZDTL,Dulang Marine Terminal,0548N 10410E,,
XZANT,Ardjuna,0554S 10557E,,
XZTGR,Tandjung Gerem,0558N 10559E,,
XZCMT,Camar Marine Terminal,0618S 11300E,,
XZDHT,Dai Hung (Tandem Load),0828N 10841E,,
XZDHS,Dai Hung (STS Load),0852N 10318E,,
XZLAM,Laminaria Terminal,1100S 12600E,,
VNNIH,Ninh Hoa,1229N 10908E,,
XZYET,Yetagun Field,1303N 09651E,,
INMAA,Chennai (ex Madras),1305N 08017E,,
BOTDD,Trinidad,1450S 06454W,,
FJDEN,Denarau,1746S 17723E,,
BRSBJ,Sao Mateus,1843S 03951W,,
SAJED,Jeddah,2132N 03910E,,
INCCU,Kolkata (ex Calcutta),2234N 08821E,,
CNSJQ,Sanshui,2310N 11252E,,
SAYNB,Yanbu al-Bahr,2405N 03802E,,
OMSHI,Shinas,2444N 05628E,,
CNQZJ,Quanzhou Pt,2456N 11836E,,
XZSHA,Al Shaheen terminal,2635N 05200E,,
IRBPA,Bandare Parsian,2710N 05254E,,
ESCJE,Costa Adeje,2804N 01645W,,
KWMZR,Mina Al Zour,2843N 04824E,,
CNYYA,Yueyang,2922N 11306E,,
JOAQJ,Al 'Aqabah,2932N 03500E,,
CNJIU,Jiujiang Pt,2943N 11558E,,
CLLSC,La Serena,2953S 07114W,,
BRTFO,Triunfo,2957S 05143W,,
USUTS,Saint Louis,3015N 09114W,,
USPLL,Port Allen,3027N 09112W,,
EGPSE,Port Said East,3113N 03221E,,
MANPS,"Nouveau Port Safi, Sidi Boudenyan",3210N 00916W,,
JPSSS,Saikai,3256N 12939E,,
JPHKT,Hakata/Fukuoka,3336N 13025E,,
ARSPD,San Pedro,3341S 05910W,,
AULUB,Lucky Bay,3341S 13655E,,
US7AL,Detroit,3401N 08810W,,
GRATL,Atherinolakos Ierapetras,3500N 02608E,,
USOK9,Saint Louis,3504N 09651W,,
GRPIL,Agia Galini,3505N 02441E,,
GRALG,Plakias,3511N 02423E,,
JPRYA,Ryuo,3540N 01637E,,
CNGLN,Gaolan,3619N 10356E,,
GRSOI,Soroni,3622N 02800E,,
ESAGP,Malaga,3643N 00425W,,
GRVOM,Voudia Milos,3645N 02432E,,
ES8TC,Rejected,3728N 00049W,,
USNH2,New Haven,3836N 09113W,,
USCWX,Cleveland,3841N 09436W,,
GRAOR,Agiokampos Oreon,3856N 02302E,,
USBHJ,Burlington,3902N 08443W,,
USXAE,Camden,3907N 07532W,,
USBV8,Brownsville,4001N 07953W,,
USXEH,Erie,4003N 10503W,,
USCR5,Chester,4037N 08034W,,
USBOY,Brooklyn/New York,4044N 07356W,,
ITNAP,Napoli,4050N 01415E,,
ITFCO,Fiumicino,4146N 01214E,,
ITFCO,Fiumicino Apt/Roma,4146N 01214E,,
USJ3C,Jacksonville,4218N 12257W,,
USIEG,Ingleside,4222N 08808W,,
ESSL8,Sobradelo,4235N 00847W,,
USVQV,Nashville,4236N 08505W,,
USHOR,Homer,4238N 07610W,,
USBDB,Bridgeport,4309N 07558W,,
ESUIS,Ucieda,4315N 00414W,,
FRXBA,Bouc-Bel-Air,4327N 00525E,,
FRBAY,Bayonne,4330N 00129W,,
USZVB,Brownsville,4337N 08829W,,
FRWIK,Roquecourbe,4340N 00217E,,
HRNDD,Novigrad (Dalmacija),4411N 01533E,,
USAQQ,Camden,4412N 06903W,,
USM4X,Monroe,4415N 07203W,,
HRPVK,Privlaka,4416N 01507E,,
FRFUC,Bouchet,4418N 00452E,,
USWY7,Weston,4438N 10520W,,
USNPO,Newport,4438N 12403W,,
USNOZ,Newport,4450N 06917W,,
FRCXA,Chatillon-Saint-Jean,4505N 00508E,,
USZZH,Northport,4507N 08537W,,
FREYZ,Eyrein,4520N 00157E,,
ITVCE,Venezia,4526N 01220E,,
FRFIE,Fontafie,4552N 00033E,,
FRXDH,Saint-Leger-sur-Dheune,4651N 00438E,,
USMCR,Manchester,4733N 12232W,,
FRFBG,Chateauneuf-sur-Loire,4752N 00213E,,
FRFAU,Fresnes-sur-Escaut,5026N 00335E,,
FRCP3,Capinghem,5039N 00258E,,
GBNPO,Newport,5042N 00117W,,
BEZWE,Zwevegem,5048N 00320E,,
NLBRS,Breskens,5123N 00334E,,
NLHVH,Hoek van Holland,5158N 00407E,,
GBSCT,Stockton,5215N 00242W,,
GBCSN,Garston,5320N 00254W,,
ARRGA,Rio Grande,5347S 06742W,,
DEOKG,Ostseebad Kuhlungsborn,5409N 01145E,,
DE73A,Langballig,5448N 00938E,,
DKCPH,Kobenhavn,5540N 01235E,,
GBTAR,Tarbert,5552N 00525W,,
GBAUL,Aultbea,5750N 00534W,,
GBTHR,Thurso,5835N 00331W,,
EEKII,Kiideva,5846N 02332E,,
CACHV,Churchill,5846N 09411W,,
NOSVG,Stavanger,5858N 00545E,,
FIMHQ,Maarianhamina (Mariehamn),6006N 01957E,,
FIMHQ,Mariehamn (Maarianhamina),6006N 01957E,,
FILPP,Lappeenranta (Villmanstrand),6103N 02811E,,
FILPP,Villmanstrand (Lappeenranta),6103N 02811E,,
FITMP,Tammerfors (Tampere),6130N 02345E,,
FITMP,Tampere (Tammerfors),6130N 02345E,,
FIMIK,Mikkeli (Sankt Michel),6141N 02716E,,
FIMIK,Sankt Michel (Mikkeli),6141N 02716E,,
FISVL,Nyslott (Savonlinna),6152N 02854E,,
FISVL,Savonlinna (Nyslott),6152N 02854E,,
NOAES,Alesund,6228N 00609E,,
XZNJO,Njord,6415N 00712E,,
XZDRA,Draugen,6420N 00745E,,
XZAAD,Aasgard,6505N 00644E,,
XZHEI,Heidrun,6519N 00720E,,
XZNNE,Norne,6600N 00759E,,
NOMQN,Mo i Rana,6619N 01408E,,
XZSUU,Suursaq,8049N 06638W,,
AEDUJ,The Palm Jumeirah,,,
AEMBS,Mubarras Island,,,
AEMUB,Mubarek Terminal,,,
AGBBQ,Barbuda,,,
AIFOR,The Forest,,,
AIROA,The Road,,,
AIWLL,Wall Blake,,,
AMJER,Jermuk,,,
AOAZZ,Ambriz,,,
AOBDD,Barra do Dande,,,
AOBUG,Benguela,,,
AODGR,Dombe Grande,,,
AOKTI,Kiame Terminal,,,
AOLAA,Landana (Cacongo),,,
AOLIE,Lieura,,,
AOLUC,Lucira,,,
AONDD,Sumbe,,,
AOPAT,Palanca Terminal,,,
AOPBN,Porto Amboim,,,
AOPLE,Porto Alexandre (Tombua),,,
AOSOQ,Soyo-Quinfuquena Terminal,,,
AOTAK,Takula Terminal,,,
ARCHL,Choele Choel,,,
ARCNQ,Corrientes,,,
ARCRY,Colonia Caroya,,,
ARCUA,Cuatreros/Bahia Blanca,,,
ARCVI,Caleta Olivia,,,
ARFMA,Formosa,,,
ARJLS,Jose Leon Suarez,,,
ARNEC,Necochea,,,
AROYA,Goya,,,
ARPBG,Puerto Belgrano/Bahia Blanca,,,
ARPCY,Pilcomayo,,,
ARPGV,Puerto Galvan/Bahia Blanca,,,
ARPLO,Punta Loyola,,,
ARPNL,Puerto Nacional/Bahia Blanca,,,
ARPQU,Punta Quilla,,,
ARPSS,Posadas,,,
ARPUB,Puerto Borghi,,,
ARRAM,Ramallo,,,
ARSAL,Salto,,,
ARVMD,Villa Mercedes,,,
ARVTT,Villa del Totoral,,,
ARXPD,San Pedro,,,
ATOBU,Oberneukirchen,,,
ATRTV,Gallbrunn,,,
ATXXX,RIS Inland waterways,,,
AUARD,Ardrossan,,,
AUBAH,Ballast Head,,,
AUBCH,Beachport,,,
AUBMW,Broadmeadows,,,
AUBNK,Ballina,,,
AUBRT,Bathurst Island,,,
AUBUS,Busselton,,,
AUBUV,Buffalo Venture,,,
AUBWB,Barrow Island,,,
AUBYP,Beauty Point,,,
AUCBR,Canberra,,,
AUCCU,Cape Cuvier,,,
AUCFS,Coffs Harbour,,,
AUCHA,Chatswood,,,
AUCHB,Catherine Hill Bay,,,
AUCHV,Challis Venture (oil terminal),,,
AUCLL,Collan Islands,,,
AUCLR,Clarence River,,,
AUCLT,Cape Lambert,,,
AUCOP,Cossack Pioneer (oil terminal),,,
AUCQP,Cape Flattery,,,
AUDAA,Darra,,,
AUDFE,Longwood,,,
AUEDB,Edithburgh,,,
AUELE,Electrona,,,
AUEXM,Exmouth Gulf,,,
AUFIS,Fisherman Islands,,,
AUGEE,George Town,,,
AUGLL,Glebe Island,,,
AUGRH,Greenhead,,,
AUGRV,Griffin Venture (oil terminal),,,
AUGTY,Kingsford,,,
AUHOT,Hope Tun,,,
